Ticker,Company Name,Current Price,Last Updated
AAPL,Apple Inc.,173.5,
MSFT,Microsoft Corporation,332.42,
AMZN,Amazon.com Inc.,135.5,2024-10-05 00:11:48
GOOGL,Alphabet Inc.,125.3,
